genes
CPT1A
ETFA
CROT
PPARD
AMACR
ETFDH
ECI1
HADHA
HACL1
ECI2
ACAD10
SLC27A2
ABCD2
MTLN
ACADL
PEX2
ALOX12
ACADM
ADIPOQ
ABCD3
CYGB
PPARGC1A
PEX7
CPT1B
CPT1C
HSD17B10
CRAT
GCDH
PEX13
POR
ETFB
ALDH1L2
SESN2
ILVBL
ACAD11
ADH4
ACOX1
ALOX15
MCAT
AUH
ACADS
HSD17B4
IVD
HADHB
ECHDC2
ADH5
ACOX2
ACSM1
LEP
ADIPOR2
DECR2
ECHDC1
ACAA1
DECR1
HADH
ACADVL
SCP2
SLC25A17
CPT2
ABCD1
ADH7
ACOX3
ECHS1
PEX5
ABCD4
PHYH
ACAT2
HAO2
PRKAA1
EHHADH
ECH1
CYP4V2
ACOXL
CYP4F2
ACOT8
ACAT1
BDH2
MAPK14
ACAA2
ADIPOR1
HAO1
MLYCD
