genes
CCL5
PLAC8
HCST
MALAT1
NKG7
SHISA5
S100A4
ACTG1
S100A11
CXCR6
S100A6
NPC2
CTLA2A
EPSTI1
GIMAP5
SEPW1
OGT
ID2
BTG1
YPEL3
CTLA2B
IFI27L2A
SAMHD1
WDR95
EVA1B
SDCBP2
LZTFL1
LY6C2
HIST1H2AP
TOP2A
HIST1H1B
NUSAP1
2810417H13RIK
TUBA1B
CDK1
SMC2
RRM2
PRC1
H2AFX
ASF1B
SPC25
ESCO2
STMN1
HIST1H2AE
MKI67
TMPO
FBXO5
TUBB5
AURKB
SGOL1
MXD3
CLSPN
UBE2S
HIST1H1E
PTMA
GMNN
CIT
CASC5
CENPF
LIG1
INCENP
SPC24
NEIL3
TPX2
TUBB4B
MIS18BP1
HMGB2
SMC4
SKA1
CCNA2
RAD51AP1
TYMS
HIST1H2AK
CKS2
KIF22
DEK
CENPE
CDCA8
CKS1B
KIF11
HJURP
TK1
CDCA2
NCAPG
RRM1
HMGB1
KIF20B
TUBA1C
NUCKS1
RFC4
ANP32B
ALYREF
TACC3
HMMR
EZH2
AURKA
PLK1
BIRC5
SHCBP1
NCAPH
SGOL2A
PBK
DUT
RAD51
KPNA2
CKAP2L
ANP32E
KIF4
RANBP1
CCDC34
SRSF7
NCAPD2
H2AFZ
LMNB1
CDCA3
CENPH
NDC80
HIST1H4D
KIF23
DHFR
SNRPD1
CBX5
NUF2
CDCA5
CENPK
CDKN2C
NCAPD3
TIPIN
LOCKD
PLK4
DNMT1
HNRNPAB
MCM5
NCAPG2
SYCE2
DBF4
ARHGAP11A
RFC3
PRIM1
CCNB1
UHRF1
PCNA
CEP55
MAD2L1
KIF15
DLGAP5
SLBP
MIS18A
NASP
SUMO2
MCM7
APITD1
ATAD2
HAUS4
TCF19
RAN
CDC20
RFC5
RAD21
PMF1
CENPM
USP1
CKAP5
BUB3
LSM3
HSP90AA1
UBE2C
HIST1H4I
SIVA1
CALM2
SMC1A
BRD8
RACGAP1
DTYMK
TUBG1
SRSF3
CENPA
GINS2
SRSF2
DNAJC9
ARL6IP1
CMC2
REEP4
ERH
LSM2
SUZ12
MCM3
CDC25B
TOPBP1
DCTPP1
SETD8
CENPW
WDR76
NRM
NAP1L1
HELLS
FABP5
ORC6
NXT1
AARS
NUDC
HAT1
BAZ1B
SSRP1
RFC1
RNASEH2B
CCNB2
CDKN2D
RBBP7
RPA3
SMC3
HMGN2
SET
WBP5
FAM111A
RBBP4
UCHL5
SMC6
HN1
BANF1
RFC2
MRPL18
CSRP1
HNRNPD
EXOSC8
HDGF
NCL
CDK4
SUPT16
PSIP1
UBB
PA2G4
SNRNP70
CBX3
LYAR
1810037I17RIK
TAGLN2
NRGN
SMARCA5
CTCF
CBX1
DDX39
SERPINB9
EIF5A
H2AFV
1500009L16RIK
CENPA
HMGB2
CCNB2
H2AFZ
BIRC5
CDKN3
CKS1B
H2AFV
CDCA3
LSM5
HMGB1
HMGN2
EMP3
RAN
STMN1
HMGB3
PTMA
ANP32E
FKBP2
2700094K13RIK
CDC20
HP1BP3
CDCA8
KNSTRN
DYNLL1
CCNB1
CENPW
1500009L16RIK
HDGF
HSP90B1
CWC15
MAD2L1
LOCKD
RDM1
SEC11C
HIST1H2BC
ANXA2
CDK2AP2
CCNA2
PMF1
NUCKS1
PTTG1
2810001G20RIK
1700097N02RIK
CKS2
GZMK
HMMR
HMGN5
TCF7
ID3
TNFSF8
TESPA1
RGS10
SLAMF6
RPS29
XCL1
RPL36
RPLP1
RPL27A
2310001H17RIK
RPS27
RPL13
RPL37A
RPL35A
RPS28
RPS18
RPL37
RPL17
RPS27A
RPS12
TNFRSF25
RPL36A
RPS14
RPS19
RPS20
RPL32
RPS23
RPL18A
RPL35
RPLP0
RPS16
RPL18
RPL26
RPL9
RPL15
RPL22
RPS9
RPL11
RPS15
RPL10
ASAP1
EVL
RPS24
RPS7
RPS3A1
RPS6
RPS26
RPL23
RPL12
RPL28
RPL23A
RPS25
RPL4
GM10073
RPL10A
RPL3
TNFRSF4
EEF1A1
RPL31
RPL21
LTB
NPM1
1810041H14RIK
TMSB10
HSPE1
IKZF2
RPS17
CD200
EEF1B2
INPP4B
LIMD2
TOX
RPS12-PS3
ADK
POU2F2
ITGB1
MIR155HG
PDCD4
EMB
ZFOS1
IFNAR2
CD160
SESN3
MS4A4C
BCL2
MRPS6
BATF
RPL10-PS3
FAM104A
CRTAM
SIAH2
FAM162A
GRCC10
TNFAIP8
NFKBIA
TRAF1
CCDC28B
ZFP36L1
GM2000
PEBP1
NRP1
MALAT1
RPL36-PS3
CD9
RPL23A-PS3
PPP1R14B
REL
MAP4K4
GPR18
CTSS
MGST2
IL7R
HIF1A
CCND3
