genes
NOS3
HMGCL
SARS2
FN3K
CDO1
PIPOX
DALRD3
SLC38A1
GLYAT
TARS2
ACAD8
PYCR2
TH
FTCD
MMUT
GOT1L1
SMS
RIDA
HAL
CSAD
GOT1
EARS2
WARS2
TAT
PHGDH
GNMT
YARS2
MSRA
APIP
AZIN2
AARS2
QARS1
ASNSD1
OCA2
ATP7A
PRODH2
CRYM
DHFR
ALDH1A1
PSAT1
DDAH2
SLC25A44
NARS1
GCAT
GFPT1
PPAT
QRSL1
PCBD2
CAD
GOT2
SDSL
GART
FARSA
SCLY
UPB1
ADSS2
DDC
HNMT
ACCS
ALDH6A1
GCSH
HYKK
BAAT
AZIN1
OTC
ENOPH1
PYCR1
GLUD1
PAH
GSTZ1
GATC
RARS2
DPYD
CBS
TTC36
ETFA
DCT
GLYATL1
NAT8L
ASPA
HAAO
ADI1
LARS1
PM20D1
PSPH
HGD
PCCB
PCCA
ART4
NOX4
ARG1
AADAT
DDAH1
ABAT
WARS1
GLDC
ODC1
ACADSB
HNF4A
CARS2
UCP2
ATF4
MCCC2
ARHGAP11B
CARNMT1
GLS
AASDHPPT
GLUL
ECHS1
ALDH4A1
MPST
NOS2
OAT
FAH
CTNS
TDO2
GAD2
ASRGL1
DGLUCY
AASDH
BCKDHB
KYAT3
FPGS
GAD1
BPHL
HSD17B10
AFMID
DLST
AGXT
AMT
GCDH
TARS1
MTHFD1
LRRC47
MAT1A
NAGS
DPEP1
SEPHS2
THAP4
CPS1
VARS1
SHMT2
ETFB
GSS
PARS2
MTR
DBT
DDO
HIBADH
ACCSL
ENOSF1
LGSN
PLOD2
THNSL2
ASL
ILVBL
AGXT2
ASPG
GPT2
DAO
KARS1
IDO1
LARS2
IARS1
GARS1
BLMH
AUH
DARS1
TYR
PTS
PCBD1
GGT5
SERINC3
ACMSD
GFPT2
RIMKLA
ALDH5A1
ASNS
MECP2
FARS2
IVD
DHFR2
HOGA1
NOXRED1
ADHFE1
TPH2
SLC1A3
PYCR3
GCLM
GCLC
SERINC5
HMGCLL1
ARG2
HARS1
SLC25A13
RARS1
HAO1
GLUD2
MARS2
SDS
BCAT1
EPRS1
NOS1
CTPS2
GMPS
MTHFS
SEPHS1
SLC39A8
CTH
NIT2
YARS1
HDC
DIO1
CTPS1
HPD
MARS1
KYAT1
TST
KYNU
RIMKLB
GATB
TPH1
AMDHD1
BCKDHA
HPDL
BHMT2
MTHFR
SARDH
SARS1
HARS2
CARS1
AARS1
SLC45A2
ASS1
IARS2
FARSB
UROC1
PRODH
BHMT
ALDH8A1
SLC25A12
NARS2
ACY1
BCKDK
SLC16A2
IL4I1
MCCC1
VARS2
SRR
KMO
MTAP
MTHFD2L
GGT1
ALDH18A1
SLC25A21
PLOD3
QDPR
AARSD1
TARS3
MTRR
PEPD
IDO2
SHMT1
DLD
BCAT2
ICMT
GPT
AGMAT
PFAS
CARNS1
SLC25A2
GLYATL1B
ACAT1
IYD
DARS2
MRI1
GLS2
SIRT4
AASS
HIBCH
