genes
AGL
FAM162A
ME2
SLC16A3
CLDN9
MIOX
AGRN
FKBP4
MED24
SLC25A13
COL5A1
NDST3
AK3
FUT8
MIF
SLC35A3
CTH
NOL3
AK4
G6PD
MPI
SLC37A4
DCN
NT5E
AKR1A1
GALE
MXI1
SOD1
DEPDC1
PC
ALDH9A1
GALK1
NANP
SRD5A3
DPYSL4
PFKFB1
ALDOA
GALK2
NASP
STMN1
DSC2
PGAM2
ALG1
GCLC
NDUFV3
TALDO1
EFNA3
PKP2
ANKZF1
GFPT1
NSDHL
TPI1
EGFR
PLOD2
ARPP19
GLCE
P4HA1
TSTA3
EGLN3
PPFIA4
B3GALT6
GLRX
P4HA2
TXN
ELF3
PYGL
B3GAT1
GMPPA
PAM
UGP2
ERO1A
RARS1
B3GAT3
GMPPB
PAXIP1
XYLT2
EXT1
RRAGD
B4GALT1
GNE
PDK3
ZNF292
FBP2
SDC1
B4GALT4
GNPDA1
PFKP
ABCB6
GAL3ST1
SDC2
B4GALT7
GOT1
PGAM1
ADORA2B
GAPDHS
SDC3
BPNT1
GOT2
PGK1
ALDH7A1
GPC1
SLC25A10
CASP6
GUSB
PGLS
ALDOB
GPC3
SOX9
CD44
GYS1
PGM2
ANG
GPC4
SPAG4
CHPF
HAX1
PHKA2
ANGPTL4
GPR87
STC1
CHPF2
HDLBP
PKM
ARTN
GYS2
STC2
CHST12
HK2
PLOD1
AURKA
HMMR
TFF3
CITED2
HOMER1
PMM2
B3GNT3
HS6ST2
TGFA
CLN6
HS2ST1
POLR3K
B4GALT2
IGFBP3
TGFBI
COG2
HSPA5
PPIA
BIK
IL13RA1
TKTL1
COPB2
IDH1
PPP2CB
CACNA1H
IRS2
TPBG
CXCR4
IDUA
PRPS1
CAPN5
KDELR3
TPST1
CYB5A
IER3
PSMC4
CDK1
KIF20A
VCAN
DDIT4
ISG20
PYGB
CENPA
LCT
VEGFA
DLD
KIF2A
QSOX1
CHST1
LDHC
VLDLR
ECD
LDHA
RBCK1
CHST2
LHX9
ENO1
LHPP
RPE
CHST4
ME1
ENO2
MDH1
SAP30
CHST6
MERTK
EXT2
MDH2
SDHC
CLDN3
MET
