gene_id	R1	R2	R3	R4	R5	R6	R7	R8	R9
ENSG00000266075	2	0	0	4	2	0	8	5	2
ENSG00000116198	1327	1623	1559	2695	1996	0	1092	1755	1189
ENSG00000169598	230	303	230	486	510	0	201	534	316
ENSG00000198912	1053	1211	1242	1627	1382	0	393	1234	871
ENSG00000236423	80	38	28	95	160	0	84	144	77
ENSG00000229280	0	0	0	0	0	0	0	0	0
ENSG00000196581	4	0	0	8	16	0	28	16	16
ENSG00000264101	0	1	2	2	4	0	0	3	3
ENSG00000131697	699	1357	1718	1877	1395	0	808	1890	1549
ENSG00000069424	13613	18342	21836	30952	27770	0	12416	24357	17878
ENSG00000116254	41	31	28	41	60	0	60	62	25
ENSG00000116251	18474	25192	22883	30820	29663	0	20662	30710	20517
ENSG00000158286	275	573	664	922	827	0	487	585	445
ENSG00000116237	1569	4194	4615	5516	3795	0	1410	5037	3589
ENSG00000173673	2	0	2	0	0	0	0	2	0
ENSG00000158292	39	61	90	146	102	0	14	122	124
ENSG00000097021	1313	3553	4741	4351	2631	0	2191	5384	4833
ENSG00000069812	24	10	26	42	10	0	18	17	22
ENSG00000187017	51	60	103	158	142	0	41	129	123
ENSG00000265392	0	0	0	0	0	0	0	0	0
ENSG00000215788	2536	5109	5344	7350	4400	0	2169	4029	3128
ENSG00000171680	214	185	181	406	341	0	164	212	99
ENSG00000162408	1419	2231	2219	3063	3181	0	1506	3652	2454
ENSG00000253022	0	1	0	1	0	0	0	0	0
ENSG00000173662	2	0	0	0	4	0	0	0	6
ENSG00000204859	1070	885	936	1605	1262	0	900	1155	710
ENSG00000162413	10169	12029	11752	14874	18861	0	18398	20221	14311
ENSG00000116273	2256	1188	1443	2438	2107	0	1658	1542	1086
ENSG00000041988	438	541	542	865	732	0	320	622	452
ENSG00000007923	978	2132	2427	2735	1951	0	899	2364	1999
ENSG00000171735	733	1302	1592	1704	1570	0	1209	2185	1579
ENSG00000207056	0	0	0	0	0	0	0	0	0
ENSG00000049245	902	1356	1318	1726	1733	0	895	2048	1253
ENSG00000049246	310	351	242	269	358	0	213	334	202
ENSG00000049247	4	6	26	17	24	0	693	1156	721
ENSG00000049249	8863	20291	16805	28282	23694	0	17752	20439	12494
ENSG00000116288	5840	12989	13870	15149	12506	0	8746	17262	12798
ENSG00000116285	1536	2506	2279	1640	4606	0	2939	5002	3892
ENSG00000200975	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	2	0	0	0	0	0
ENSG00000162426	39	110	78	61	45	0	30	57	72
ENSG00000142599	2856	4847	4981	5734	5688	0	3506	5233	4246
ENSG00000221643	0	1	1	0	2	0	1	5	1
ENSG00000234619	0	0	4	0	0	34	0	0	0
ENSG00000224315	0	0	0	0	0	34	1	0	0
ENSG00000074800	105402	226713	250286	281305	204013	0	90781	224294	173102
ENSG00000274258	4	4	12	3	1	0	2	11	1
ENSG00000230679	2	3	3	3	12	0	3	13	3
ENSG00000201725	0	0	2	2	0	0	8	0	1
ENSG00000131686	57	28	55	88	117	0	53	90	63
ENSG00000265141	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0
ENSG00000142583	0	14	0	2	2	0	14	4	4
ENSG00000275143	0	0	0	0	0	0	0	0	0
ENSG00000180758	584	627	644	833	927	0	438	664	484
ENSG00000284357	397	343	535	352	640	0	346	314	260
ENSG00000049239	1964	2868	2804	3796	2754	0	1178	1865	1579
ENSG00000171621	1650	1073	1158	2442	2354	0	723	1593	1319
ENSG00000252956	0	0	0	0	0	0	0	0	0
ENSG00000171612	1539	3317	3049	4032	3191	0	2670	4804	3412
ENSG00000188807	1245	3659	4345	5836	3282	0	1421	5009	3863
ENSG00000171608	9746	9670	12154	14465	11528	0	18652	15594	12578
ENSG00000179840	11	24	32	31	74	0	68	41	39
ENSG00000231789	42	54	52	80	48	0	33	26	52
ENSG00000171603	2024	3698	4432	4565	3336	0	1337	2823	2229
ENSG00000178585	316	231	297	543	348	0	275	322	193
ENSG00000162441	620	817	785	1116	970	0	735	1179	745
ENSG00000173614	271	189	222	354	415	0	177	364	241
ENSG00000265521	1	0	0	0	0	0	1	0	0
