genes
ATP5F1A
NDUFA7
NDUFB2
NDUFB8
NDUFB4
NDUFA3
NDUFA10
NDUFC2
NDUFA12
NDUFS3
SNCA
COX5B
MT-CO2
ATP5F1EP2
MT-CO1
DNAJC15
UQCRHL
NDUFAF1
COX8A
CYCS
MT-CYB
COX7C
UQCR11
NDUFS6
NDUFB5
NDUFA2
NDUFC1
NDUFB3
NIPSNAP2
NDUFS2
UQCRFS1
COX7A2
COX6A2
NDUFA13
NDUFA4
MT-CO3
UQCRQ
NDUFAB1
NDUFB11
SDHAF2
COX7A2L
SDHD
C2orf69
UQCRH
MT-ATP8
MT-ND6
MT-ND5
MT-ND4
MT-ND4L
COX15
MT-ND3
MT-ND2
MT-ND1
ATP5PB
CYC1
COX4I1
COX8C
ATP5F1D
ATP5MF
NDUFB10
NDUFS1
CHCHD10
MSH2
AFG1L
NDUFA8
SDHB
NDUFB9
ATP5F1B
NDUFB1
MT-ATP6
COX5A
SDHC
UQCRC1
COX6B2
COX7B2
ATP5PF
SDHA
UQCRB
ATP5F1C
COX6B1
UQCC3
NDUFA11
ATP5PO
NDUFS8
COX6A1
STOML2
FXN
NDUFB7
COA6
COX7A2P2
UQCRFS1P1
NDUFA9
NDUFA5
COQ9
NDUFS7
NDUFS5
TAFAZZIN
UQCRC2
NDUFS4
NDUFV1
COX4I2
DGUOK
ATP5PD
SLC25A51
NDUFA6
NDUFA1
NDUFB6
NDUFV2
BID
NDUFC2-KCTD14
COX7B
COX7A1
TEFM
COX6C
DLD
NDUFV3
ATP5ME
ATP5F1E
ATP5MG
UQCR10
